Stage,Profile,URL,Label,FCP_ms,LCP_ms,TBT_ms,CLS,SI_ms,TTFB_ms,JS_KB,PageWeight_KB
control,none,/control/legacy,Homepage,117.5,284,113.5,0.069,1069,26,170,152599
control,none,/control/legacy/category/running,Category/Running,76,243.5,155,0.069,913,41.5,176,31228
control,none,/control/legacy/category/training,Category/Training,117.5,279.5,149.5,0.069,1229.5,24,176,35825
control,none,/control/legacy/category/lifestyle,Category/Lifestyle,93,340,155.5,0.069,1420,34.5,176,35709
control,none,/control/legacy/category/basketball,Category/Basketball,79,296,151,0.069,1016.5,24.5,176,7222
control,none,/control/legacy/category/football,Category/Football,86.5,349,196,0.069,1095,28,176,40890
control,none,/control/legacy/cart,Cart,107.5,142.5,128.5,0.04,420,37.5,170,308
control,none,/control/legacy/product/25,Product Detail,134,301.5,150,0.056,932.5,39,172,2947
image-opt,none,/experimental/image-opt,Homepage,96,136.5,129.5,0.069,837,39,197,872
image-opt,none,/experimental/image-opt/category/running,Category/Running,115,158,149,0.069,979.5,153.5,217,589
image-opt,none,/experimental/image-opt/category/training,Category/Training,122,156.5,149,0.069,793,38.5,216.5,706
image-opt,none,/experimental/image-opt/category/lifestyle,Category/Lifestyle,82.5,124.5,149,0.069,830,43,216,481
image-opt,none,/experimental/image-opt/category/basketball,Category/Basketball,102.5,150.5,150,0.069,837,167.5,217,494
image-opt,none,/experimental/image-opt/category/football,Category/Football,152,190,149.5,0.069,1136.5,166.5,217,740
image-opt,none,/experimental/image-opt/cart,Cart,87,126.5,131,0.04,462,135,197,335
image-opt,none,/experimental/image-opt/product/25,Product Detail,107,147,150,0.056,794.5,251.5,213,404
rsc,none,/experimental/rsc,Homepage,86.5,86.5,0,0,298,21,173,688
rsc,none,/experimental/rsc/category/running,Category/Running,91.5,114.5,0,0,504,273,180,513
rsc,none,/experimental/rsc/category/training,Category/Training,77,110,0,0,320,26.5,180,633
rsc,none,/experimental/rsc/category/lifestyle,Category/Lifestyle,57.5,91.5,0,0,394,49,180,410
rsc,none,/experimental/rsc/category/basketball,Category/Basketball,68.5,100.5,0,0,301,50,180,414
rsc,none,/experimental/rsc/category/football,Category/Football,67.5,97.5,0,0,345,154,180,661
rsc,none,/experimental/rsc/cart,Cart,51,51,0,0,129.5,16.5,167,269
rsc,none,/experimental/rsc/product/25,Product Detail,59.5,90.5,0,0,271,32.5,173,329
modern,none,/experimental/modern,Homepage,70,79.5,0,0,270.5,255.5,173,688
modern,none,/experimental/modern/category/running,Category/Running,79.5,79.5,0,0,241,28,180,513
modern,none,/experimental/modern/category/training,Category/Training,87.5,88,0,0,277,42.5,180,632.5
modern,none,/experimental/modern/category/lifestyle,Category/Lifestyle,87,96,0,0,245.5,37,180,410.5
modern,none,/experimental/modern/category/basketball,Category/Basketball,71.5,71.5,0,0,258,44,180,414
modern,none,/experimental/modern/category/football,Category/Football,85,85,0,0,188.5,27,180,661
modern,none,/experimental/modern/cart,Cart,49.5,52,0,0,177.5,30,167,269.5
modern,none,/experimental/modern/product/25,Product Detail,105.5,105.5,0,0,174,35,173,326
nodelay,none,/experimental/nodelay,Homepage,98,98,0,0,290,44.5,166,682
nodelay,none,/experimental/nodelay/category/running,Category/Running,77,77,0,0,143,26.5,180,513
nodelay,none,/experimental/nodelay/category/training,Category/Training,121.5,123,0,0,332,36.5,180,633
nodelay,none,/experimental/nodelay/category/lifestyle,Category/Lifestyle,77.5,87.5,0,0,234.5,161,180,411
nodelay,none,/experimental/nodelay/category/basketball,Category/Basketball,79,79,0,0,274.5,134,180,414
nodelay,none,/experimental/nodelay/category/football,Category/Football,62,68.5,0,0,250.5,26,180,661
nodelay,none,/experimental/nodelay/cart,Cart,68,68,0,0,180,21.5,167,270
nodelay,none,/experimental/nodelay/product/25,Product Detail,58,58,0,0,158,41,173,329
control,4g,/control/legacy,Homepage,1797,5156,117,0.069,3695.5,30.5,170,152599
control,4g,/control/legacy/category/running,Category/Running,1795,4425,752.5,0.069,3642.5,26,176,31228
control,4g,/control/legacy/category/training,Category/Training,1789.5,4611,753,0.069,4058.5,44,176,35825
control,4g,/control/legacy/category/lifestyle,Category/Lifestyle,1796.5,5190.5,794.5,0.069,5266,48.5,176,35709
control,4g,/control/legacy/category/basketball,Category/Basketball,1779,5120,752,0.069,3364,45,176,7222
control,4g,/control/legacy/category/football,Category/Football,1805,5398.5,850.5,0.069,3952,27.5,176,40890
control,4g,/control/legacy/cart,Cart,1800,3000.5,0,0.04,1817,42.5,170,308
control,4g,/control/legacy/product/25,Product Detail,1802,5203,752.5,0.056,3540.5,21.5,172,2947
image-opt,4g,/experimental/image-opt,Homepage,1827.5,3028.5,88,0.069,2624,42,197,872
image-opt,4g,/experimental/image-opt/category/running,Category/Running,1780.5,2981,752,0.069,2826,39,217,589
image-opt,4g,/experimental/image-opt/category/training,Category/Training,1800,3000,752,0.069,3085,34,217,706
image-opt,4g,/experimental/image-opt/category/lifestyle,Category/Lifestyle,1781,2989,753,0.069,2566,44,217,481
image-opt,4g,/experimental/image-opt/category/basketball,Category/Basketball,1770.5,2970.5,752.5,0.069,2582.5,272.5,217,494
image-opt,4g,/experimental/image-opt/category/football,Category/Football,1779.5,2979.5,753,0.069,2663.5,36,217,740
image-opt,4g,/experimental/image-opt/cart,Cart,1790,2991.5,3.5,0.04,2015,280.5,197,335
image-opt,4g,/experimental/image-opt/product/25,Product Detail,1765.5,2972.5,754,0.056,2419,19,212,404
rsc,4g,/experimental/rsc,Homepage,1142.5,1636,44,0,1164,21.5,166.5,681.5
rsc,4g,/experimental/rsc/category/running,Category/Running,1074.5,1762.5,16.5,0,1276.5,46,180,513
rsc,4g,/experimental/rsc/category/training,Category/Training,1146,1811,45.5,0,1572.5,148,180,633
rsc,4g,/experimental/rsc/category/lifestyle,Category/Lifestyle,1069.5,1701,36.5,0,1172.5,24,180,410.5
rsc,4g,/experimental/rsc/category/basketball,Category/Basketball,1067.5,1708.5,45.5,0,1203,45,180,414
rsc,4g,/experimental/rsc/category/football,Category/Football,1075,1664.5,33,0,1161,20.5,180,661
rsc,4g,/experimental/rsc/cart,Cart,933.5,1392,36.5,0,933.5,18,167,269
rsc,4g,/experimental/rsc/product/25,Product Detail,1092,1665.5,33.5,0,1359,26,173,329
modern,4g,/experimental/modern,Homepage,1149,1598.5,40.5,0,1179.5,42,169.5,685
modern,4g,/experimental/modern/category/running,Category/Running,1065,1521.5,19,0,1065,24,180,513
modern,4g,/experimental/modern/category/training,Category/Training,1174.5,1586.5,21,0,1183,22.5,180,632.5
modern,4g,/experimental/modern/category/lifestyle,Category/Lifestyle,1066.5,1409.5,40,0,1069.5,26,180,411
modern,4g,/experimental/modern/category/basketball,Category/Basketball,1073,1418.5,46,0,1098.5,46,180,414
modern,4g,/experimental/modern/category/football,Category/Football,1083.5,1426.5,40,0,1089.5,17.5,180,661
modern,4g,/experimental/modern/cart,Cart,959,1291.5,39,0,967.5,34.5,167,269.5
modern,4g,/experimental/modern/product/25,Product Detail,1081,1432,23,0,1081,42.5,173,327
nodelay,4g,/experimental/nodelay,Homepage,1141.5,1548.5,45.5,0,1197,40.5,166,682
nodelay,4g,/experimental/nodelay/category/running,Category/Running,1099.5,1541.5,22,0,1248,252.5,180,513
nodelay,4g,/experimental/nodelay/category/training,Category/Training,1205.5,1610,25,0,1233,32,180,633
nodelay,4g,/experimental/nodelay/category/lifestyle,Category/Lifestyle,1082.5,1438.5,43,0,1113,23.5,180,410.5
nodelay,4g,/experimental/nodelay/category/basketball,Category/Basketball,1084,1424,43.5,0,1084,27,180,414
nodelay,4g,/experimental/nodelay/category/football,Category/Football,1096,1574.5,34.5,0,1101.5,20.5,180,661
nodelay,4g,/experimental/nodelay/cart,Cart,958.5,1318.5,41,0,1098.5,67,167,269
nodelay,4g,/experimental/nodelay/product/25,Product Detail,1073.5,1447,41.5,0,1089,35,173,329
control,fast3g,/control/legacy,Homepage,1590,16659,139.5,0.069,3047,21.5,170,152599
control,fast3g,/control/legacy/category/running,Category/Running,1572.5,12609.5,812,0.069,3406.5,33.5,176,31228
control,fast3g,/control/legacy/category/training,Category/Training,1588.5,13592.5,791.5,0.069,3907.5,173,176,35825
control,fast3g,/control/legacy/category/lifestyle,Category/Lifestyle,1569.5,16723.5,1116,0.069,4218.5,34,176,35709
control,fast3g,/control/legacy/category/basketball,Category/Basketball,1564,16603.5,795.5,0.069,2612,26.5,176,7222
control,fast3g,/control/legacy/category/football,Category/Football,1574,17781.5,803,0.069,3130.5,24,176,40890
control,fast3g,/control/legacy/cart,Cart,1600.5,3231,45,0.04,1604,48,170,308
control,fast3g,/control/legacy/product/25,Product Detail,1570,17015,791.5,0.056,2870,35.5,172,2947
image-opt,fast3g,/experimental/image-opt,Homepage,1594,3859.5,98,0.069,2898,35,197,872
image-opt,fast3g,/experimental/image-opt/category/running,Category/Running,1571.5,3769,792,0.069,2388.5,43,216,589
image-opt,fast3g,/experimental/image-opt/category/training,Category/Training,1583,3881.5,791,0.069,3027.5,68.5,216.5,706
image-opt,fast3g,/experimental/image-opt/category/lifestyle,Category/Lifestyle,1574.5,3872.5,793,0.069,2204.5,28.5,217,481
image-opt,fast3g,/experimental/image-opt/category/basketball,Category/Basketball,1578,3661,792.5,0.069,2349,47,217,494
image-opt,fast3g,/experimental/image-opt/category/football,Category/Football,1591.5,3698,795,0.069,2431,32.5,216.5,740
image-opt,fast3g,/experimental/image-opt/cart,Cart,1570.5,3340.5,41.5,0.04,1576.5,45.5,197,335
image-opt,fast3g,/experimental/image-opt/product/25,Product Detail,1567,3509,793,0.056,2438.5,40.5,213,404
rsc,fast3g,/experimental/rsc,Homepage,1015,1940,37,0,1084,171,173,688
rsc,fast3g,/experimental/rsc/category/running,Category/Running,966,2513,17,0,1353,145,180,513
rsc,fast3g,/experimental/rsc/category/training,Category/Training,1015,3047.5,42,0,1130.5,49.5,180,633
rsc,fast3g,/experimental/rsc/category/lifestyle,Category/Lifestyle,969.5,2569,19.5,0,1273.5,176,180,410
rsc,fast3g,/experimental/rsc/category/basketball,Category/Basketball,966.5,2363,21.5,0,1156.5,30.5,180,414
rsc,fast3g,/experimental/rsc/category/football,Category/Football,964.5,2327.5,25,0,1063.5,32.5,180,661
rsc,fast3g,/experimental/rsc/cart,Cart,841,1418,19.5,0,947,27,167,269
rsc,fast3g,/experimental/rsc/product/25,Product Detail,953.5,2274,19,0,1023,23.5,173,329
modern,fast3g,/experimental/modern,Homepage,1028,1912.5,37,0,1034.5,45,166.5,681
modern,fast3g,/experimental/modern/category/running,Category/Running,964,1737,20.5,0,1017,33,180,513
modern,fast3g,/experimental/modern/category/training,Category/Training,1055,2005.5,21,0,1100.5,52.5,180,632
modern,fast3g,/experimental/modern/category/lifestyle,Category/Lifestyle,955,1731.5,19,0,984.5,27,180,410
modern,fast3g,/experimental/modern/category/basketball,Category/Basketball,978.5,1525,22,0,1021,31,180,414
modern,fast3g,/experimental/modern/category/football,Category/Football,966,1690,21,0,1189,51,180,661
modern,fast3g,/experimental/modern/cart,Cart,851,1333,22.5,0,961.5,40.5,167,269
modern,fast3g,/experimental/modern/product/25,Product Detail,949.5,1529,19,0,949.5,31,173,329
nodelay,fast3g,/experimental/nodelay,Homepage,1043.5,1900,39.5,0,1151.5,50.5,169.5,686
nodelay,fast3g,/experimental/nodelay/category/running,Category/Running,940,2064,19,0,964,30,180,513
nodelay,fast3g,/experimental/nodelay/category/training,Category/Training,1055.5,2363,26,0,1060,32.5,180,632
nodelay,fast3g,/experimental/nodelay/category/lifestyle,Category/Lifestyle,945,1970,22.5,0,947.5,19.5,180,411
nodelay,fast3g,/experimental/nodelay/category/basketball,Category/Basketball,963.5,1495.5,22.5,0,994,29.5,180,414
nodelay,fast3g,/experimental/nodelay/category/football,Category/Football,962,1525,24,0,962,31,180,661
nodelay,fast3g,/experimental/nodelay/cart,Cart,853.5,1491.5,23,0,863,49,167,269
nodelay,fast3g,/experimental/nodelay/product/25,Product Detail,958.5,1621,26,0,958.5,37.5,173,328
control,slow3g,/control/legacy,Homepage,4075.5,63494.5,141.5,0.069,6526.5,33.5,170,152599
control,slow3g,/control/legacy/category/running,Category/Running,4079,46983,809.5,0.069,6827,56,176,31228
control,slow3g,/control/legacy/category/training,Category/Training,4081,50509.5,800,0.069,7420,24.5,176,35825
control,slow3g,/control/legacy/category/lifestyle,Category/Lifestyle,4084.5,63315,793,0.069,8489,38.5,176,35709
control,slow3g,/control/legacy/category/basketball,Category/Basketball,4088,62937,797,0.069,5686.5,43,176,7222
control,slow3g,/control/legacy/category/football,Category/Football,4081,67311.5,803,0.069,6437,55,176,40890
control,slow3g,/control/legacy/cart,Cart,4079,10451.5,52,0.04,4117,43,170,308
control,slow3g,/control/legacy/product/25,Product Detail,4083.5,64479,795.5,0.056,5312,32,172,2947
image-opt,slow3g,/experimental/image-opt,Homepage,4106,12887.5,92,0.069,5110,26.5,197,872
image-opt,slow3g,/experimental/image-opt/category/running,Category/Running,4064,12646,801,0.069,4807,59,217,589
image-opt,slow3g,/experimental/image-opt/category/training,Category/Training,4075.5,13059,796,0.069,5119.5,40.5,217,706
image-opt,slow3g,/experimental/image-opt/category/lifestyle,Category/Lifestyle,4086.5,13037,794.5,0.069,5332,51,217,481
image-opt,slow3g,/experimental/image-opt/category/basketball,Category/Basketball,4084.5,12441.5,792.5,0.069,5458,34.5,217,494
image-opt,slow3g,/experimental/image-opt/category/football,Category/Football,4079.5,12462,795.5,0.069,4670.5,52.5,217,740
image-opt,slow3g,/experimental/image-opt/cart,Cart,4072.5,10850,48,0.04,4072.5,44,197,335
image-opt,slow3g,/experimental/image-opt/product/25,Product Detail,4087,11678.5,799.5,0.056,5155.5,28,213,404
rsc,slow3g,/experimental/rsc,Homepage,2502,7255.5,40,0,2502,36.5,167,682
rsc,slow3g,/experimental/rsc/category/running,Category/Running,2462,8195,24.5,0,2502,30,180,513
rsc,slow3g,/experimental/rsc/category/training,Category/Training,2498,10664,48.5,0,2508,23.5,180,633
rsc,slow3g,/experimental/rsc/category/lifestyle,Category/Lifestyle,2452,9355,22,0,2572,24.5,180,410
rsc,slow3g,/experimental/rsc/category/basketball,Category/Basketball,2466,7760,23,0,2608,46,180,414
rsc,slow3g,/experimental/rsc/category/football,Category/Football,2470.5,7706,28,0,2470.5,29,180,661
rsc,slow3g,/experimental/rsc/cart,Cart,2092,3826,39.5,0,2097,35.5,167,269
rsc,slow3g,/experimental/rsc/product/25,Product Detail,2456,7777.5,20,0,2456,32.5,173,329
modern,slow3g,/experimental/modern,Homepage,2518,6670,40,0,2521,43,173,688
modern,slow3g,/experimental/modern/category/running,Category/Running,2451,4887,23,0,2452,62,180,513
modern,slow3g,/experimental/modern/category/training,Category/Training,2581,5902,20.5,0,2602,29,180,632
modern,slow3g,/experimental/modern/category/lifestyle,Category/Lifestyle,2455,5178,22.5,0,2463.5,42,180,410.5
modern,slow3g,/experimental/modern/category/basketball,Category/Basketball,2463.5,4654,23,0,2463.5,46,180,414
modern,slow3g,/experimental/modern/category/football,Category/Football,2452.5,4893.5,19.5,0,2452.5,16,180,661
modern,slow3g,/experimental/modern/cart,Cart,2073.5,5236.5,41,0,2073.5,21,167,270
modern,slow3g,/experimental/modern/product/25,Product Detail,2455.5,5190,20.5,0,2466,42,173,329
nodelay,slow3g,/experimental/nodelay,Homepage,2508,6752,38,0,2548,42,169.5,686
nodelay,slow3g,/experimental/nodelay/category/running,Category/Running,2455.5,5039,24,0,2478.5,28.5,180,513
nodelay,slow3g,/experimental/nodelay/category/training,Category/Training,2553,6657,18,0,2553,39,180,633
nodelay,slow3g,/experimental/nodelay/category/lifestyle,Category/Lifestyle,2466,6466,23.5,0,2468,30.5,180,410.5
nodelay,slow3g,/experimental/nodelay/category/basketball,Category/Basketball,2448,5745,16,0,2453,32,180,414
nodelay,slow3g,/experimental/nodelay/category/football,Category/Football,2486.5,4978,21.5,0,2514.5,38.5,180,661
nodelay,slow3g,/experimental/nodelay/cart,Cart,2084,5230,42.5,0,2092,35,167,270
nodelay,slow3g,/experimental/nodelay/product/25,Product Detail,2465,5551,20.5,0,2480,21.5,173,329